,Isotope,Decay Energy (keV),Half-life (seconds)
711,128Cd,1870.5,2.7e-07
712,128Cd,2108.3,1.2000000000000002e-08
713,128Cd,2714.6,3.56e-06
714,128In,247.9,2.3e-05
715,128In,340.0,0.72
716,128Sn,2091.5,6.5
717,128Sn,2491.91,2.8099999999999998e-06
718,128Sn,4099.5,2.2e-07
719,128Te,2788.9,2.3600000000000002e-07
720,128I,133.6106,1.2300000000000001e-08
721,128I,137.85,8.45e-07
722,128I,167.367,1.7500000000000002e-07
723,128Xe,2786.4,7.3e-08
724,129Cd,1940.0,0.0036000000000000003
725,129In,451.0,1.23
726,129In,1630.0,0.67
727,129In,1687.97,8.7e-06
728,129In,1911.0,0.11
729,129Sn,35.15,414.0
730,129Sn,1761.6,3.3999999999999996e-06
731,129Sn,1802.6,2.22e-06
732,129Sn,2552.9,2.1700000000000002e-07
733,129Sb,1851.31,1062.0
734,129Sb,1861.06,2.2e-06
735,129Sb,2137.4,1.1e-06
736,129Te,105.51,2903040.0
737,129Te,2137.83,3.3000000000000004e-08
738,129I,27.793,1.68e-08
739,129Xe,236.14,767232.0000000001
740,129Cs,6.545,7.200000000000001e-08
741,129Cs,575.4,7.179999999999999e-07
742,129Ba,8.42,7685.999999999999
743,129Ba,182.04,1.52e-08
744,129Ba,2462.6,4.7000000000000004e-08
745,129La,172.33,0.56
746,129Ce,107.6,6.000000000000001e-08
747,130Cd,2129.6,2.48e-07
748,130In,50.0,0.54
749,130In,388.5,5.25e-06
750,130In,400.0,0.54
751,130Sn,1946.88,102.0
752,130Sn,2084.84,5.2e-08
