,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
212,22,10.0,32.0,Ne,x,36999#,503#,6671#,16#,B-,18359.0,504#,32.03972,540#
213,21,11.0,32.0,Na,x,18640.152,37.260,7219.8815,1.1644,B-,19469.0523,37.4021,32.020011024,40.000
214,20,12.0,32.0,Mg,x,-828.901,3.260,7803.8411,0.1019,B-,10270.4677,7.8787,31.999110138,3.500
215,19,13.0,32.0,Al,x,-11099.368,7.173,8100.3449,0.2241,B-,12978.3208,7.1787,31.988084338,7.700
216,18,14.0,32.0,Si,x,-24077.689,0.298,8481.4690,0.0093,B-,227.1872,0.3008,31.974151538,0.320
217,17,15.0,32.0,P,-n,-24304.876,0.040,8464.1203,0.0013,B-,1710.6608,0.0400,31.973907643,0.042
218,16,16.0,32.0,S,NA,-26015.53714,0.00131,8493.1301,0.0002,B-,-12680.8313,0.5617,31.97207117354,0.00141
219,15,17.0,32.0,Cl,NA,-13334.706,0.562,8072.4058,0.0176,B-,-11134.3536,1.8568,31.985684605,0.603
220,14,18.0,32.0,Ar,x,-2200.352,1.770,7700.0089,0.0553,B-,-24190.0,400#,31.997637824,1.900
221,13,19.0,32.0,K,x,21990#,400#,6920#,12#,B-,*,NA,32.023607,429#
222,23,10.0,33.0,Ne,x,46130#,600#,6436#,18#,B-,22350.0,750#,33.049523,644#
223,22,11.0,33.0,Na,x,23780.113,449.912,7089.9262,13.6337,B-,18817.24,449.9195,33.025529,483.000
224,21,12.0,33.0,Mg,NA,4962.873,2.663,7636.4382,0.0807,B-,13460.255,7.4767,33.005327862,2.859
225,20,13.0,33.0,Al,x,-8497.382,6.986,8020.6172,0.2117,B-,12016.946,7.0211,32.990877685,7.500
226,19,14.0,33.0,Si,x,-20514.328,0.699,8361.0596,0.0212,B-,5823.0223,1.2947,32.977976964,0.750
227,18,15.0,33.0,P,+,-26337.350,1.090,8513.8073,0.0330,B-,248.5079,1.0900,32.971725692,1.170
228,17,16.0,33.0,S,NA,-26585.8583,0.00134,8497.6304,0.0002,B-,-5582.5182,0.3908,32.97145890862,0.00144
229,16,17.0,33.0,Cl,NA,-21003.34,0.391,8304.7557,0.0118,B-,-11619.0452,0.5596,32.977451988,0.419
230,15,18.0,33.0,Ar,x,-9384.295,0.401,7928.9559,0.0121,B-,-16925.0,200#,32.989925545,0.430
231,14,19.0,33.0,K,x,7540#,200#,7392#,6#,B-,-23489.0,447#,33.008095,215#
232,13,20.0,33.0,Ca,x,31030#,400#,6657#,12#,B-,*,NA,33.033312,429#
233,24,10.0,34.0,Ne,-nn,52842#,513#,6287#,15#,B-,21161.0,789#,34.056728,551#
234,23,11.0,34.0,Na,x,31680.114,599.416,6886.4377,17.6299,B-,23356.7903,599.4561,34.03401,643.500
235,22,12.0,34.0,Mg,x,8323.324,6.893,7550.3919,0.2027,B-,11320.9428,7.2072,34.008935455,7.400
236,21,13.0,34.0,Al,x,-2997.619,2.105,7860.3506,0.0619,B-,16994.0653,2.2519,33.996781924,2.259
237,20,14.0,34.0,Si,x,-19991.684,0.801,8337.1659,0.0236,B-,4557.0175,1.1395,33.978538045,0.860
238,19,15.0,34.0,P,x,-24548.702,0.810,8448.1856,0.0238,B-,5382.9879,0.8116,33.973645886,0.870
239,18,16.0,34.0,S,NA,-29931.689,0.045,8583.4986,0.0013,B-,-5491.6037,0.0378,33.967867011,0.047
240,17,17.0,34.0,Cl,NA,-24440.086,0.049,8398.9706,0.0014,B-,-6061.793,0.0631,33.97376249,0.052
241,16,18.0,34.0,Ar,NA,-18378.293,0.078,8197.6724,0.0023,B-,-17158.0,196#,33.980270092,0.083
242,15,19.0,34.0,K,x,-1220#,196#,7670#,6#,B-,-16110.0,358#,33.99869,210#
243,14,20.0,34.0,Ca,x,14890#,300#,7173#,9#,B-,*,NA,34.015985,322#
244,24,11.0,35.0,Na,-n,37831#,670#,6745#,19#,B-,22192.0,723#,35.040614,720#
245,23,12.0,35.0,Mg,x,15639.786,269.668,7356.2338,7.7048,B-,15863.5156,269.7679,35.01679,289.500
246,22,13.0,35.0,Al,x,-223.730,7.359,7787.1243,0.2103,B-,14167.7504,36.6047,34.999759816,7.900
247,21,14.0,35.0,Si,2p-n,-14391.480,35.857,8169.5644,1.0245,B-,10466.3291,35.9049,34.984550111,38.494
248,20,15.0,35.0,P,+p,-24857.809,1.866,8446.2496,0.0533,B-,3988.4006,1.8667,34.973314045,2.003
249,19,16.0,35.0,S,NA,-28846.21,0.040,8537.8511,0.0012,B-,167.3218,0.0257,34.969032321,0.043
250,18,17.0,35.0,Cl,NA,-29013.532,0.035,8520.2790,0.0010,B-,-5966.2429,0.6794,34.968852694,0.038
251,17,18.0,35.0,Ar,-,-23047.289,0.680,8327.4621,0.0194,B-,-11874.3955,0.8516,34.975257719,0.730
252,16,19.0,35.0,K,4n,-11172.893,0.512,7965.8409,0.0146,B-,-16363.0,200#,34.988005406,0.550
253,15,20.0,35.0,Ca,x,5190#,200#,7476#,6#,B-,-21910.0,447#,35.005572,215#
254,14,21.0,35.0,Sc,x,27100#,400#,6828#,11#,B-,*,NA,35.029093,429#
255,25,11.0,36.0,Na,-n,45903#,687#,6557#,19#,B-,25523.0,974#,36.049279,737#
256,24,12.0,36.0,Mg,x,20380.159,690.237,7244.4202,19.1733,B-,14429.7751,706.2429,36.021879,741.000
257,23,13.0,36.0,Al,x,5950.384,149.505,7623.5154,4.1529,B-,18386.5096,165.8510,36.006388,160.500
258,22,14.0,36.0,Si,x,-12436.125,71.797,8112.5199,1.9944,B-,7814.9194,72.9852,35.986649271,77.077
259,21,15.0,36.0,P,+,-20251.045,13.114,8307.8692,0.3643,B-,10413.0962,13.1124,35.97825961,14.078
260,20,16.0,36.0,S,NA,-30664.141,0.188,8575.3900,0.0052,B-,-1142.1329,0.1893,35.967080692,0.201
261,19,17.0,36.0,Cl,NA,-29522.008,0.036,8521.9322,0.0010,B-,709.5343,0.0449,35.968306822,0.038
262,18,18.0,36.0,Ar,NA,-30231.542,0.027,8519.9096,0.0008,B-,-12814.3607,0.3259,35.967545106,0.028
263,17,19.0,36.0,K,NA,-17417.182,0.325,8142.2233,0.0090,B-,-10966.0155,40.0013,35.981301887,0.349
264,16,20.0,36.0,Ca,4n,-6451.166,40.000,7815.8799,1.1111,B-,-22601.0,303#,35.993074388,42.941
265,15,21.0,36.0,Sc,x,16150#,300#,7166#,8#,B-,*,NA,36.017338,322#
266,26,11.0,37.0,Na,-nn,53134#,687#,6403#,19#,B-,24923.0,980#,37.057042,737#
267,25,12.0,37.0,Mg,-n,28211.478,698.947,7055.1115,18.8905,B-,18401.9132,721.8139,37.030286265,750.350
268,24,13.0,37.0,Al,x,9809.564,180.244,7531.3160,4.8715,B-,16381.0765,213.1678,37.010531,193.500
269,23,14.0,37.0,Si,x,-6571.512,113.809,7952.9033,3.0759,B-,12424.5003,119.9691,36.992945191,122.179
270,22,15.0,37.0,P,p-2n,-18996.012,37.948,8267.5561,1.0256,B-,7900.4135,37.9474,36.979606942,40.738
271,21,16.0,37.0,S,-n,-26896.426,0.198,8459.9363,0.0054,B-,4865.1258,0.1965,36.9711255,0.212
272,20,17.0,37.0,Cl,NA,-31761.552,0.052,8570.2816,0.0014,B-,-813.8729,0.2000,36.965902573,0.055
273,19,18.0,37.0,Ar,-,-30947.679,0.207,8527.1406,0.0056,B-,-6147.4775,0.2270,36.966776301,0.221
274,18,19.0,37.0,K,-p,-24800.201,0.094,8339.8480,0.0025,B-,-11664.1314,0.6412,36.97337589,0.100
275,17,20.0,37.0,Ca,x,-13136.070,0.634,8003.4567,0.0171,B-,-16916.0,300#,36.985897849,0.680
276,16,21.0,37.0,Sc,x,3780#,300#,7525#,8#,B-,-21390.0,500#,37.004058,322#
277,15,22.0,37.0,Ti,x,25170#,400#,6926#,11#,B-,*,NA,37.027021,429#
278,27,11.0,38.0,Na,-n,61905#,715#,6216#,19#,B-,27831.0,875#,38.066458,768#
279,26,12.0,38.0,Mg,x,34074#,503#,6928#,13#,B-,17604.0,525#,38.03658,540#
280,25,13.0,38.0,Al,x,16470#,150#,7370#,4#,B-,20640.0,183#,38.017681,161#
281,24,14.0,38.0,Si,x,-4170.299,104.793,7892.8297,2.7577,B-,10451.2656,127.4736,37.995523,112.500
282,23,15.0,38.0,P,x,-14621.565,72.581,8147.2749,1.9100,B-,12239.6512,72.9340,37.984303105,77.918
283,22,16.0,38.0,S,+,-26861.216,7.172,8448.7829,0.1887,B-,2936.9,7.1714,37.9711633,7.699
284,21,17.0,38.0,Cl,-n,-29798.116,0.098,8505.4817,0.0026,B-,4916.7109,0.2182,37.968010408,0.105
285,20,18.0,38.0,Ar,NA,-34714.827,0.195,8614.2807,0.0051,B-,-5914.0671,0.0448,37.962732102,0.209
286,19,19.0,38.0,K,NA,-28800.76,0.195,8438.0593,0.0051,B-,-6742.2563,0.0626,37.969081114,0.209
287,18,20.0,38.0,Ca,NA,-22058.503,0.194,8240.0434,0.0051,B-,-17809.0,200#,37.976319223,0.208
288,17,21.0,38.0,Sc,x,-4249#,200#,7751#,5#,B-,-15619.0,361#,37.995438,215#
289,16,22.0,38.0,Ti,x,11370#,300#,7319#,8#,B-,*,NA,38.012206,322#
290,28,11.0,39.0,Na,-n,69977#,743#,6056#,19#,B-,27201.0,903#,39.075123,797#
291,27,12.0,39.0,Mg,-n,42775#,513#,6734#,13#,B-,21286.0,594#,39.045921,551#
292,26,13.0,39.0,Al,x,21490#,300#,7260#,8#,B-,19169.0,329#,39.02307,322#
293,25,14.0,39.0,Si,x,2320.352,135.532,7730.9793,3.4752,B-,15094.9874,176.2324,39.002491,145.500
294,24,15.0,39.0,P,x,-12774.636,112.645,8097.9701,2.8883,B-,10388.0361,123.2430,38.986285865,120.929
295,23,16.0,39.0,S,2p-n,-23162.672,50.000,8344.2698,1.2821,B-,6637.5463,50.0300,38.97513385,53.677
296,22,17.0,39.0,Cl,-nn,-29800.218,1.732,8494.4032,0.0444,B-,3441.9774,5.2915,38.968008151,1.859
297,21,18.0,39.0,Ar,+,-33242.195,5.000,8562.5988,0.1282,B-,565.0,5.0000,38.964313037,5.367
298,20,19.0,39.0,K,NA,-33807.19535,0.00456,8557.0258,0.0003,B-,-6524.4888,0.5962,38.96370648482,0.00489
299,19,20.0,39.0,Ca,NA,-27282.707,0.596,8369.6711,0.0153,B-,-13109.9804,24.0074,38.970710811000004,0.640
300,18,21.0,39.0,Sc,2n-p,-14172.726,24.000,8013.4575,0.6154,B-,-16673.0,202#,38.984784953,25.765
301,17,22.0,39.0,Ti,x,2500#,200#,7566#,5#,B-,-20070.0,447#,39.002684,215#
302,16,23.0,39.0,V,x,22570#,400#,7031#,10#,B-,*,NA,39.02423,429#
303,28,12.0,40.0,Mg,x,49550#,500#,6598#,13#,B-,20729.0,583#,40.053194,537#
304,27,13.0,40.0,Al,x,28820#,300#,7097#,7#,B-,23154.0,324#,40.03094,322#
305,26,14.0,40.0,Si,x,5666.876,121.991,7655.8247,3.0498,B-,13806.0653,147.8912,40.006083641,130.962
306,25,15.0,40.0,P,x,-8139.189,83.607,7981.4177,2.0902,B-,14698.6603,83.7017,39.991262221,89.755
307,24,16.0,40.0,S,NA,-22837.85,3.982,8329.3255,0.0996,B-,4719.9687,32.3118,39.975482561,4.274
308,23,17.0,40.0,Cl,+,-27557.818,32.066,8427.7660,0.8016,B-,7482.0816,32.0655,39.970415466,34.423
309,22,18.0,40.0,Ar,NA,-35039.89997,0.00218,8595.2594,0.0002,B-,-1504.4031,0.0559,39.96238312204,0.00234
310,21,19.0,40.0,K,NA,-33535.497,0.056,8538.0907,0.0014,B-,1310.9051,0.0596,39.963998165,0.060
311,20,20.0,40.0,Ca,NA,-34846.402,0.020,8551.3046,0.0006,B-,-14323.0493,2.8281,39.96259085,0.022
312,19,21.0,40.0,Sc,-,-20523.353,2.828,8173.6697,0.0707,B-,-11529.9139,68.3023,39.977967275,3.036
313,18,22.0,40.0,Ti,NA,-8993.439,68.244,7865.8632,1.7061,B-,-21463.0,308#,39.990345146,73.262
314,17,23.0,40.0,V,x,12470#,300#,7310#,7#,B-,*,NA,40.013387,322#
315,29,12.0,41.0,Mg,x,58100#,500#,6425#,12#,B-,23510.0,640#,41.062373,537#
316,28,13.0,41.0,Al,x,34590#,400#,6980#,10#,B-,21390.0,500#,41.037134,429#
317,27,14.0,41.0,Si,x,13200#,300#,7482#,7#,B-,18180.0,323#,41.014171,322#
318,26,15.0,41.0,P,x,-4979.767,120.163,7906.5513,2.9308,B-,14028.8125,120.2326,40.994654,129.000
319,25,16.0,41.0,S,x,-19008.580,4.099,8229.6358,0.1000,B-,8298.6116,68.8456,40.979593451,4.400
320,24,17.0,41.0,Cl,x,-27307.192,68.723,8412.9593,1.6762,B-,5760.318,68.7243,40.970684525,73.777
321,23,18.0,41.0,Ar,-n,-33067.510,0.347,8534.3733,0.0085,B-,2492.0392,0.3473,40.96450057,0.372
322,22,19.0,41.0,K,NA,-35559.5488,0.00376,8576.0731,0.0003,B-,-421.6406,0.1377,40.961825256110004,0.00403
323,21,20.0,41.0,Ca,NA,-35137.908,0.138,8546.7075,0.0034,B-,-6495.5482,0.1553,40.962277905,0.147
324,20,21.0,41.0,Sc,NA,-28642.36,0.077,8369.1979,0.0019,B-,-12944.8214,27.9449,40.969251163,0.083
325,19,22.0,41.0,Ti,x,-15697.539,27.945,8034.3889,0.6816,B-,-16008.0,202#,40.983148,30.000
326,18,23.0,41.0,V,x,310#,200#,7625#,5#,B-,-20100.0,447#,41.000333,215#
327,17,24.0,41.0,Cr,x,20410#,400#,7116#,10#,B-,*,NA,41.021911,429#
328,29,13.0,42.0,Al,x,41990#,500#,6829#,12#,B-,25150.0,583#,42.045078,537#
329,28,14.0,42.0,Si,x,16840#,300#,7410#,7#,B-,15748.0,315#,42.018078,322#
330,27,15.0,42.0,P,x,1091.842,95.009,7765.9122,2.2621,B-,18729.5899,95.0504,42.00117214,101.996
331,26,16.0,42.0,S,x,-17637.748,2.794,8193.2275,0.0665,B-,7194.0221,59.6811,41.9810651,3.000
332,25,17.0,42.0,Cl,x,-24831.770,59.616,8345.8864,1.4194,B-,9590.9082,59.8947,41.973342,64.000
333,24,18.0,42.0,Ar,x,-34422.678,5.775,8555.6141,0.1375,B-,599.3527,5.7763,41.963045737,6.200
334,23,19.0,42.0,K,-n,-35022.031,0.106,8551.2571,0.0025,B-,3525.2626,0.1825,41.962402305,0.113
335,22,20.0,42.0,Ca,NA,-38547.293,0.148,8616.5646,0.0035,B-,-6426.2904,0.0485,41.95861778,0.159
336,21,21.0,42.0,Sc,NA,-32121.003,0.154,8444.9303,0.0037,B-,-7016.6496,0.2239,41.965516686,0.165
337,20,22.0,42.0,Ti,NA,-25104.353,0.269,8259.2400,0.0064,B-,-17485.0,196#,41.973049369,0.289
338,19,23.0,42.0,V,x,-7620#,196#,7824#,5#,B-,-14679.0,358#,41.99182,210#
339,18,24.0,42.0,Cr,x,7060#,300#,7456#,7#,B-,*,NA,42.007579,322#
340,30,13.0,43.0,Al,x,48270#,600#,6712#,14#,B-,23940.0,721#,43.05182,644#
341,29,14.0,43.0,Si,x,24330#,400#,7251#,9#,B-,19289.0,500#,43.026119,429#
342,28,15.0,43.0,P,x,5040#,300#,7681#,7#,B-,17236.0,300#,43.005411,322#
343,27,16.0,43.0,S,x,-12195.461,4.970,8063.8276,0.1156,B-,11964.05,62.0579,42.986907635,5.335
344,26,17.0,43.0,Cl,x,-24159.510,61.859,8323.8672,1.4386,B-,7850.3002,62.0860,42.9740637,66.407
345,25,18.0,43.0,Ar,x,-32009.811,5.310,8488.2382,0.1235,B-,4565.5836,5.3254,42.965636056,5.700
346,24,19.0,43.0,K,-4n,-36575.394,0.410,8576.2204,0.0095,B-,1833.4783,0.4687,42.960734701,0.440
347,23,20.0,43.0,Ca,NA,-38408.873,0.227,8600.6653,0.0053,B-,-2220.7227,1.8650,42.958766381,0.244
348,22,21.0,43.0,Sc,-p,-36188.150,1.863,8530.8265,0.0433,B-,-6872.5591,6.0147,42.961150425,1.999
349,21,22.0,43.0,Ti,NA,-29315.591,5.719,8352.8054,0.1330,B-,-11399.2333,43.2287,42.96852842,6.139
350,20,23.0,43.0,V,x,-17916.358,42.849,8069.5129,0.9965,B-,-15946.0,205#,42.980766,46.000
351,19,24.0,43.0,Cr,x,-1970#,200#,7680#,5#,B-,-19340.0,447#,42.997885,215#
352,18,25.0,43.0,Mn,x,17370#,400#,7213#,9#,B-,*,NA,43.018647,429#
353,30,14.0,44.0,Si,x,29310#,500#,7156#,11#,B-,18200.0,640#,44.031466,537#
354,29,15.0,44.0,P,x,11110#,400#,7552#,9#,B-,20314.0,400#,44.011927,429#
355,28,16.0,44.0,S,x,-9204.236,5.216,7996.0154,0.1186,B-,11274.7373,85.7253,43.990118846,5.600
356,27,17.0,44.0,Cl,x,-20478.973,85.566,8234.4788,1.9447,B-,12194.2869,85.5811,43.978014918,91.859
357,26,18.0,44.0,Ar,x,-32673.260,1.584,8493.8411,0.0360,B-,3108.2375,1.6381,43.964923814,1.700
358,25,19.0,44.0,K,x,-35781.498,0.419,8546.7023,0.0095,B-,5687.2319,0.5303,43.961586984,0.450
359,24,20.0,44.0,Ca,NA,-41468.73,0.325,8658.1769,0.0074,B-,-3652.6948,1.7565,43.955481489,0.348
360,23,21.0,44.0,Sc,-p,-37816.035,1.756,8557.3805,0.0399,B-,-267.4488,1.8899,43.959402818,1.884
361,22,22.0,44.0,Ti,-a,-37548.586,0.700,8533.5215,0.0159,B-,-13740.5071,7.2986,43.959689936,0.751
362,21,23.0,44.0,V,NA,-23808.079,7.265,8203.4567,0.1651,B-,-10386.1805,51.7447,43.974440977,7.799
363,20,24.0,44.0,Cr,x,-13421.899,51.232,7949.6265,1.1644,B-,-20882.0,304#,43.985591,55.000
364,19,25.0,44.0,Mn,x,7460#,300#,7457#,7#,B-,*,NA,44.008009,322#
365,31,14.0,45.0,Si,x,37090#,600#,7004#,13#,B-,21130.0,781#,45.039818,644#
366,30,15.0,45.0,P,x,15960#,500#,7456#,11#,B-,19301.0,583#,45.017134,537#
367,29,16.0,45.0,S,x,-3340#,300#,7867#,7#,B-,14922.0,329#,44.996414,322#
368,28,17.0,45.0,Cl,x,-18262.544,136.163,8181.5991,3.0259,B-,11508.2568,136.1643,44.980394353,146.177
369,27,18.0,45.0,Ar,x,-29770.801,0.512,8419.9526,0.0114,B-,6844.8422,0.7311,44.968039731,0.550
370,26,19.0,45.0,K,x,-36615.643,0.522,8554.6747,0.0116,B-,4196.5868,0.6369,44.960691491,0.560
371,25,20.0,45.0,Ca,NA,-40812.23,0.365,8630.5467,0.0081,B-,260.091,0.7377,44.95618627,0.392
372,24,21.0,45.0,Sc,NA,-41072.321,0.663,8618.9410,0.0147,B-,-2062.0551,0.5086,44.955907051,0.712
373,23,22.0,45.0,Ti,NA,-39010.266,0.836,8555.7321,0.0186,B-,-7123.8247,0.2142,44.958120758,0.897
374,22,23.0,45.0,V,NA,-31886.441,0.863,8380.0394,0.0192,B-,-12371.64,35.4073,44.965768498,0.926
375,21,24.0,45.0,Cr,x,-19514.801,35.397,8087.7286,0.7866,B-,-14535.0,302#,44.97905,38.000
376,20,25.0,45.0,Mn,x,-4980#,300#,7747#,7#,B-,-19388.0,412#,44.994654,322#
377,19,26.0,45.0,Fe,-pp,14408#,283#,7299#,6#,B-,*,NA,45.015467,304#
378,31,15.0,46.0,P,x,22840#,500#,7320#,11#,B-,22200.0,640#,46.02452,537#
379,30,16.0,46.0,S,x,640#,400#,7785#,9#,B-,14375.0,411#,46.000687,429#
380,29,17.0,46.0,Cl,x,-13734.949,97.249,8080.7757,2.1141,B-,16036.3062,97.2766,45.985254926,104.400
381,28,18.0,46.0,Ar,x,-29771.255,2.329,8412.3835,0.0506,B-,5642.6746,2.4394,45.968039244,2.500
382,27,19.0,46.0,K,x,-35413.929,0.727,8518.0428,0.0158,B-,7725.6802,2.3490,45.961981584,0.780
383,26,20.0,46.0,Ca,NA,-43139.61,2.234,8668.9848,0.0486,B-,-1377.9665,2.3305,45.953687726,2.398
384,25,21.0,46.0,Sc,-n,-41761.643,0.671,8622.0215,0.0146,B-,2366.626,0.6666,45.955167034,0.720
385,24,22.0,46.0,Ti,NA,-44128.269,0.090,8656.4623,0.0020,B-,-7052.3723,0.0923,45.952626356,0.097
386,23,23.0,46.0,V,NA,-37075.897,0.134,8486.1423,0.0029,B-,-7604.3264,11.4538,45.960197389,0.143
387,22,24.0,46.0,Cr,NA,-29471.57,11.453,8303.8233,0.2490,B-,-17053.8226,87.3828,45.968360969,12.295
388,21,25.0,46.0,Mn,x,-12417.748,86.629,7916.0805,1.8832,B-,-13628.0,312#,45.986669,93.000
389,20,26.0,46.0,Fe,x,1210#,300#,7603#,7#,B-,*,NA,46.001299,322#
390,32,15.0,47.0,P,x,28810#,600#,7209#,13#,B-,21610.0,721#,47.030929,644#
391,31,16.0,47.0,S,x,7200#,400#,7652#,9#,B-,16781.0,447#,47.00773,429#
392,30,17.0,47.0,Cl,x,-9580#,200#,7992#,4#,B-,15787.0,200#,46.989715,215#
393,29,18.0,47.0,Ar,x,-25367.274,1.211,8311.4250,0.0258,B-,10344.7078,1.8490,46.972767112,1.300
394,28,19.0,47.0,K,x,-35711.982,1.397,8514.8795,0.0297,B-,6632.6837,2.6237,46.961661612,1.500
395,27,20.0,47.0,Ca,NA,-42344.665,2.221,8639.3548,0.0473,B-,1992.177,1.1849,46.954541134,2.384
396,26,21.0,47.0,Sc,NA,-44336.842,1.931,8665.0958,0.0411,B-,600.7694,1.9292,46.952402444,2.072
397,25,22.0,47.0,Ti,NA,-44937.612,0.080,8661.2325,0.0017,B-,-2930.5422,0.0879,46.951757491,0.085
398,24,23.0,47.0,V,NA,-42007.07,0.110,8582.2348,0.0024,B-,-7443.9769,5.1976,46.954903558,0.118
399,23,24.0,47.0,Cr,NA,-34563.093,5.197,8407.2067,0.1106,B-,-11996.7167,32.0943,46.962894995,5.578
400,22,25.0,47.0,Mn,x,-22566.376,31.671,8135.3117,0.6738,B-,-15437.0,501#,46.975774,34.000
401,21,26.0,47.0,Fe,x,-7130#,500#,7790#,11#,B-,-17750.0,781#,46.992346,537#
402,20,27.0,47.0,Co,x,10620#,600#,7396#,13#,B-,*,NA,47.011401,644#
403,32,16.0,48.0,S,x,12390#,500#,7552#,10#,B-,16670.0,707#,48.013301,537#
404,31,17.0,48.0,Cl,x,-4280#,500#,7883#,10#,B-,18075.0,500#,47.995405,537#
405,30,18.0,48.0,Ar,x,-22354.927,16.767,8243.6656,0.3493,B-,9929.555,16.7847,47.976001,18.000
406,29,19.0,48.0,K,x,-32284.482,0.773,8434.2324,0.0161,B-,11940.3857,0.7734,47.965341184,0.830
407,28,20.0,48.0,Ca,NA,-44224.868,0.018,8666.6916,0.0004,B-,279.2155,4.9499,47.952522654,0.018
408,27,21.0,48.0,Sc,NA,-44504.083,4.950,8656.2097,0.1031,B-,3988.8685,4.9499,47.952222903,5.313
409,26,22.0,48.0,Ti,NA,-48492.952,0.074,8723.0122,0.0016,B-,-4014.9467,0.9691,47.947940677,0.079
410,25,23.0,48.0,V,NA,-44478.005,0.972,8623.0686,0.0202,B-,-1656.6918,7.3746,47.9522509,1.043
411,24,24.0,48.0,Cr,+nn,-42821.313,7.311,8572.2553,0.1523,B-,-13524.6692,9.9157,47.954029431,7.848
412,23,25.0,48.0,Mn,NA,-29296.644,6.699,8274.1924,0.1396,B-,-11288.0685,92.4609,47.96854876,7.191
413,22,26.0,48.0,Fe,x,-18008.575,92.218,8022.7254,1.9212,B-,-19738.0,509#,47.980667,99.000
414,21,27.0,48.0,Co,x,1730#,500#,7595#,10#,B-,-16448.0,656#,48.001857,537#
415,20,28.0,48.0,Ni,-pp,18178#,424#,7236#,9#,B-,*,NA,48.019515,455#
416,33,16.0,49.0,S,-n,20391#,583#,7400#,12#,B-,19652.0,707#,49.021891,626#
417,32,17.0,49.0,Cl,x,740#,400#,7785#,8#,B-,17800.0,565#,49.000794,429#
418,31,18.0,49.0,Ar,x,-17060#,400#,8132#,8#,B-,12551.0,400#,48.981685,429#
419,30,19.0,49.0,K,x,-29611.496,0.801,8372.2753,0.0164,B-,11688.5069,0.8205,48.968210753,0.860
420,29,20.0,49.0,Ca,-n,-41300.003,0.178,8594.8500,0.0036,B-,5262.4445,2.2745,48.955662625,0.190
421,28,21.0,49.0,Sc,NA,-46562.447,2.268,8686.2805,0.0463,B-,2001.5652,2.2684,48.950013159,2.434
422,27,22.0,49.0,Ti,NA,-48564.012,0.078,8711.1625,0.0016,B-,-601.8555,0.8203,48.947864391,0.084
423,26,23.0,49.0,V,-,-47962.157,0.824,8682.9135,0.0168,B-,-2629.8047,2.3487,48.948510509,0.884
424,25,24.0,49.0,Cr,NA,-45332.352,2.202,8613.2777,0.0449,B-,-7712.4265,0.2329,48.95133372,2.363
425,24,25.0,49.0,Mn,NA,-37619.925,2.214,8439.9150,0.0452,B-,-12869.1957,24.3199,48.95961335,2.377
426,23,26.0,49.0,Fe,x,-24750.730,24.219,8161.3121,0.4943,B-,-14971.0,501#,48.973429,26.000
427,22,27.0,49.0,Co,x,-9780#,500#,7840#,10#,B-,-18309.0,781#,48.989501,537#
428,21,28.0,49.0,Ni,x,8530#,600#,7450#,12#,B-,*,NA,49.009157,644#
429,33,17.0,50.0,Cl,x,7700#,400#,7651#,8#,B-,20930.0,640#,50.008266,429#
430,32,18.0,50.0,Ar,x,-13230#,500#,8054#,10#,B-,12498.0,500#,49.985797,537#
431,31,19.0,50.0,K,x,-25727.853,7.731,8288.5833,0.1546,B-,13861.3774,7.8919,49.972380015,8.300
432,30,20.0,50.0,Ca,x,-39589.230,1.584,8550.1639,0.0317,B-,4947.8903,2.9723,49.957499215,1.700
433,29,21.0,50.0,Sc,NA,-44537.12,2.515,8633.4747,0.0503,B-,6894.747,2.5166,49.952187437,2.700
434,28,22.0,50.0,Ti,NA,-51431.867,0.082,8755.7227,0.0017,B-,-2208.6274,0.0579,49.944785622,0.088
435,27,23.0,50.0,V,NA,-49223.24,0.093,8695.9032,0.0019,B-,1038.124,0.0551,49.947156681,0.099
436,26,24.0,50.0,Cr,NA,-50261.364,0.094,8701.0188,0.0019,B-,-7634.4776,0.0672,49.946042209,0.100
437,25,25.0,50.0,Mn,NA,-42626.886,0.115,8532.6823,0.0023,B-,-8150.4267,8.3842,49.954238157,0.123
438,24,26.0,50.0,Fe,x,-34476.460,8.383,8354.0268,0.1677,B-,-16887.0566,126.0308,49.962988,9.000
439,23,27.0,50.0,Co,x,-17589.403,125.752,8000.6387,2.5150,B-,-14130.0,516#,49.981117,135.000
440,22,28.0,50.0,Ni,x,-3460#,500#,7702#,10#,B-,*,NA,49.996286,537#
441,34,17.0,51.0,Cl,x,14290#,700#,7530#,14#,B-,20780.0,806#,51.015341,751#
442,33,18.0,51.0,Ar,x,-6490#,400#,7922#,8#,B-,16026.0,400#,50.993033,429#
443,32,19.0,51.0,K,x,-22515.457,13.041,8221.3350,0.2557,B-,13816.8529,13.0517,50.975828664,14.000
444,31,20.0,51.0,Ca,x,-36332.310,0.522,8476.9135,0.0102,B-,6918.0432,2.5686,50.960995663,0.560
445,30,21.0,51.0,Sc,NA,-43250.353,2.515,8597.2213,0.0493,B-,6482.6122,2.5612,50.953568838,2.700
446,29,22.0,51.0,Ti,NA,-49732.965,0.484,8708.9912,0.0095,B-,2470.1402,0.4820,50.946609468,0.519
